horizon,model,oo_s,year,n,hit_rate,corr
24,GBoost,2023-01-01,2023,1416,0.5056497175141242,-0.0024512614636719946
24,RandForest,2023-01-01,2023,1416,0.5967514124293786,0.2427995994514494
48,LogReg,2023-01-01,2023,1416,0.5353107344632768,0.11587617893929927
48,GBoost,2023-01-01,2023,1416,0.5190677966101694,0.010236322338816804
48,RandForest,2023-01-01,2023,1416,0.536723163841808,0.17050281887616792
72,LogReg,2023-01-01,2023,1416,0.4491525423728814,-0.11161159978032971
72,GBoost,2023-01-01,2023,1416,0.4992937853107345,0.04679602961239389
72,RandForest,2023-01-01,2023,1416,0.501412429378531,0.10857095211369862
1,LogReg,2023-03-01,2023,1464,0.5621584699453552,0.14727204753686024
1,GBoost,2023-03-01,2023,1464,0.5683060109289617,0.14415748573611017
1,RandForest,2023-03-01,2023,1464,0.5614754098360656,0.1631231952215428
2,LogReg,2023-03-01,2023,1464,0.5546448087431693,0.12242156717750154
2,GBoost,2023-03-01,2023,1464,0.5614754098360656,0.1327241774422274
2,RandForest,2023-03-01,2023,1464,0.5730874316939891,0.1651614487018247
4,LogReg,2023-03-01,2023,1464,0.546448087431694,0.09632257604469216
4,GBoost,2023-03-01,2023,1464,0.5478142076502732,0.09151185846502118
4,RandForest,2023-03-01,2023,1464,0.5580601092896175,0.1412908191074002
8,LogReg,2023-03-01,2023,1464,0.5239071038251366,0.06711773162238104
8,GBoost,2023-03-01,2023,1464,0.5307377049180327,0.04446288116712111
8,RandForest,2023-03-01,2023,1464,0.5642076502732241,0.14056095362734147
16,LogReg,2023-03-01,2023,1464,0.5061475409836066,0.04980378063211764
16,GBoost,2023-03-01,2023,1464,0.5355191256830601,0.061269599751301515
16,RandForest,2023-03-01,2023,1464,0.546448087431694,0.09250608900623229
24,LogReg,2023-03-01,2023,1464,0.5191256830601093,0.06355185890845834
24,GBoost,2023-03-01,2023,1464,0.5122950819672131,0.05615419077083684
24,RandForest,2023-03-01,2023,1464,0.48975409836065575,0.027628968302393475
48,LogReg,2023-03-01,2023,1464,0.47950819672131145,-0.022098590005760567
48,GBoost,2023-03-01,2023,1464,0.5280054644808743,0.03252901362480936
48,RandForest,2023-03-01,2023,1464,0.5102459016393442,0.01937256097380931
72,LogReg,2023-03-01,2023,1464,0.46994535519125685,-0.06625004683522537
72,GBoost,2023-03-01,2023,1464,0.5191256830601093,0.09679415190705147
72,RandForest,2023-03-01,2023,1464,0.5170765027322405,0.06875829330908818
1,LogReg,2023-05-01,2023,1464,0.5368852459016393,0.0870416637599108
1,GBoost,2023-05-01,2023,1464,0.5525956284153005,0.13809513762146064
1,RandForest,2023-05-01,2023,1464,0.5443989071038251,0.1292827108319185
2,LogReg,2023-05-01,2023,1464,0.5239071038251366,0.06433961131264443
2,GBoost,2023-05-01,2023,1464,0.5368852459016393,0.12087284017046591
2,RandForest,2023-05-01,2023,1464,0.5491803278688525,0.13126525285998789
4,LogReg,2023-05-01,2023,1464,0.5239071038251366,0.06007129896511929
4,GBoost,2023-05-01,2023,1464,0.5382513661202186,0.07997161272852836
4,RandForest,2023-05-01,2023,1464,0.5307377049180327,0.10403270390617712
8,LogReg,2023-05-01,2023,1464,0.5034153005464481,0.01975328899174525
8,GBoost,2023-05-01,2023,1464,0.5047814207650273,0.023536799624148348
8,RandForest,2023-05-01,2023,1464,0.5163934426229508,0.06757693405514922
16,LogReg,2023-05-01,2023,1464,0.46174863387978143,-0.06652275349837622
16,GBoost,2023-05-01,2023,1464,0.48292349726775957,-0.03927098243767435
16,RandForest,2023-05-01,2023,1464,0.4808743169398907,-0.014819687985077566
24,LogReg,2023-05-01,2023,1464,0.5122950819672131,0.029222097838068752
24,GBoost,2023-05-01,2023,1464,0.532103825136612,0.0685279907703394
24,RandForest,2023-05-01,2023,1464,0.5259562841530054,0.09843254601542285
48,LogReg,2023-05-01,2023,1464,0.523224043715847,0.034709929442618144
48,GBoost,2023-05-01,2023,1464,0.5724043715846995,0.23633526443580136
48,RandForest,2023-05-01,2023,1464,0.5614754098360656,0.19230367093311065
72,LogReg,2023-05-01,2023,1464,0.4924863387978142,-0.020014098225114883
72,GBoost,2023-05-01,2023,1464,0.5368852459016393,0.1258179859748981
72,RandForest,2023-05-01,2023,1464,0.569672131147541,0.13534201165062787
1,LogReg,2023-07-01,2023,1488,0.5336021505376344,0.07737221115026063
1,GBoost,2023-07-01,2023,1488,0.5577956989247311,0.10519209072580894
1,RandForest,2023-07-01,2023,1488,0.5524193548387096,0.1115668185634792
2,LogReg,2023-07-01,2023,1488,0.5383064516129032,0.09035307532375066
2,GBoost,2023-07-01,2023,1488,0.5631720430107527,0.12280206531729415
2,RandForest,2023-07-01,2023,1488,0.5638440860215054,0.13313777225489073
4,LogReg,2023-07-01,2023,1488,0.5651881720430108,0.13258722127557937
4,GBoost,2023-07-01,2023,1488,0.5873655913978495,0.2275461024519607
4,RandForest,2023-07-01,2023,1488,0.5961021505376344,0.20648395473205464
8,LogReg,2023-07-01,2023,1488,0.5698924731182796,0.16449357807981935
8,GBoost,2023-07-01,2023,1488,0.5510752688172043,0.2182003132253293
8,RandForest,2023-07-01,2023,1488,0.5510752688172043,0.23360448644171644
16,LogReg,2023-07-01,2023,1488,0.5591397849462365,0.1382883270940273
16,GBoost,2023-07-01,2023,1488,0.543010752688172,0.22095787795183916
16,RandForest,2023-07-01,2023,1488,0.5383064516129032,0.18989819049839723
24,LogReg,2023-07-01,2023,1488,0.5672043010752689,0.1730886547676083
24,GBoost,2023-07-01,2023,1488,0.5611559139784946,0.23299698326413543
24,RandForest,2023-07-01,2023,1488,0.5342741935483871,0.20442078045661036
48,LogReg,2023-07-01,2023,1488,0.532258064516129,0.07807927719569253
48,GBoost,2023-07-01,2023,1488,0.4946236559139785,0.005263538780345297
48,RandForest,2023-07-01,2023,1488,0.4986559139784946,0.019635491075608132
72,LogReg,2023-07-01,2023,1488,0.5584677419354839,0.08929811854862477
72,GBoost,2023-07-01,2023,1488,0.5913978494623656,0.23304966625367968
72,RandForest,2023-07-01,2023,1488,0.5490591397849462,0.1305837480554424
1,LogReg,2023-09-01,2023,1464,0.5601092896174863,0.13192711210629016
1,GBoost,2023-09-01,2023,1464,0.5368852459016393,0.10597524514933054
1,RandForest,2023-09-01,2023,1464,0.5450819672131147,0.10487174059508901
2,LogReg,2023-09-01,2023,1464,0.5389344262295082,0.10875679481769296
2,GBoost,2023-09-01,2023,1464,0.5580601092896175,0.1296892457024258
2,RandForest,2023-09-01,2023,1464,0.5437158469945356,0.13213572542754254
4,LogReg,2023-09-01,2023,1464,0.5300546448087432,0.05425695239686077
4,GBoost,2023-09-01,2023,1464,0.5484972677595629,0.08815683073418588
4,RandForest,2023-09-01,2023,1464,0.5546448087431693,0.10475962573916675
8,LogReg,2023-09-01,2023,1464,0.5040983606557377,0.022387711510326178
8,GBoost,2023-09-01,2023,1464,0.537568306010929,0.07886462030301247
8,RandForest,2023-09-01,2023,1464,0.5519125683060109,0.12429980099968374
16,LogReg,2023-09-01,2023,1464,0.5095628415300546,-0.011208461369447677
16,GBoost,2023-09-01,2023,1464,0.47540983606557374,-0.00478667628497671
16,RandForest,2023-09-01,2023,1464,0.4719945355191257,-0.01908523326799474
24,LogReg,2023-09-01,2023,1464,0.48770491803278687,0.01567957398214297
24,GBoost,2023-09-01,2023,1464,0.49043715846994534,0.08661664737355626
24,RandForest,2023-09-01,2023,1464,0.48565573770491804,0.0477968847282762
48,LogReg,2023-09-01,2023,1464,0.3941256830601093,-0.006240454189440868
48,GBoost,2023-09-01,2023,1464,0.44398907103825136,0.034090171533748985
48,RandForest,2023-09-01,2023,1464,0.4337431693989071,-0.03359461968398815
72,LogReg,2023-09-01,2023,1464,0.36885245901639346,-0.08680958218018642
72,GBoost,2023-09-01,2023,1464,0.3476775956284153,-0.1830565607098476
72,RandForest,2023-09-01,2023,1464,0.35792349726775957,-0.16040009363002383
1,LogReg,2023-11-01,2023,1464,0.555327868852459,0.14737133205574027
1,GBoost,2023-11-01,2023,1464,0.5676229508196722,0.18230788260980874
1,RandForest,2023-11-01,2023,1464,0.5730874316939891,0.16961954645018967
2,LogReg,2023-11-01,2023,1464,0.5416666666666666,0.11923098241939142
2,GBoost,2023-11-01,2023,1464,0.5676229508196722,0.11353782168253336
2,RandForest,2023-11-01,2023,1464,0.5594262295081968,0.12848951700426148
4,LogReg,2023-11-01,2023,1464,0.5525956284153005,0.14921228534016376
4,GBoost,2023-11-01,2023,1464,0.5778688524590164,0.1490879674932135
4,RandForest,2023-11-01,2023,1464,0.5846994535519126,0.17855886568030022
8,LogReg,2023-11-01,2023,1464,0.5792349726775956,0.1979151664401173
8,GBoost,2023-11-01,2023,1464,0.5689890710382514,0.18496984579172338
8,RandForest,2023-11-01,2023,1464,0.5771857923497268,0.2058064184335698
16,LogReg,2023-11-01,2023,1464,0.5437158469945356,0.1871134617097506
16,GBoost,2023-11-01,2023,1464,0.5908469945355191,0.19526713533837592
16,RandForest,2023-11-01,2023,1464,0.5942622950819673,0.19649814252170444
24,LogReg,2023-11-01,2023,1464,0.5867486338797814,0.21587398522413914
24,GBoost,2023-11-01,2023,1464,0.5792349726775956,0.16091546910875418
24,RandForest,2023-11-01,2023,1464,0.578551912568306,0.20557370449764073
48,LogReg,2023-11-01,2023,1464,0.5901639344262295,0.07184384617605381
48,GBoost,2023-11-01,2023,1464,0.5737704918032787,0.21321359954069133
48,RandForest,2023-11-01,2023,1464,0.5601092896174863,0.12722612568598823
72,LogReg,2023-11-01,2023,1464,0.6236338797814208,-0.002452705058527234
72,GBoost,2023-11-01,2023,1464,0.4883879781420765,-0.012569705890524654
72,RandForest,2023-11-01,2023,1464,0.537568306010929,0.013089890292435713
1,LogReg,2024-01-01,2024,1440,0.5375,0.07646259844460718
1,GBoost,2024-01-01,2024,1440,0.5527777777777778,0.10755560171317737
1,RandForest,2024-01-01,2024,1440,0.5604166666666667,0.1235343319581924
2,LogReg,2024-01-01,2024,1440,0.5270833333333333,0.0633454230270813
2,GBoost,2024-01-01,2024,1440,0.5430555555555555,0.12019467068616285
2,RandForest,2024-01-01,2024,1440,0.5555555555555556,0.12388213417752159
4,LogReg,2024-01-01,2024,1440,0.5215277777777778,0.046676463351206725
4,GBoost,2024-01-01,2024,1440,0.5395833333333333,0.09758031925169777
4,RandForest,2024-01-01,2024,1440,0.5541666666666667,0.12098135216187873
8,LogReg,2024-01-01,2024,1440,0.5416666666666666,0.05832258136807572
8,GBoost,2024-01-01,2024,1440,0.5527777777777778,0.1227854191342856
8,RandForest,2024-01-01,2024,1440,0.5493055555555556,0.12575244155870563
16,LogReg,2024-01-01,2024,1440,0.5465277777777777,0.10728535025158459
16,GBoost,2024-01-01,2024,1440,0.5493055555555556,0.13178551507334768
16,RandForest,2024-01-01,2024,1440,0.5416666666666666,0.1353769494895128
