anchor,ts,year,fc_ret_4h,real_ret_4h,in_band_4h,fc_ret_16h,real_ret_16h,in_band_16h,fc_ret_24h,real_ret_24h,in_band_24h,fc_ret_48h,real_ret_48h,in_band_48h
55628,2026-05-06 19:00:00,2026,0.0023343531283561703,-0.00032431117941555954,1.0,0.0048911539706413265,-0.00725575221432706,1.0,0.005327936807555389,-0.016263400221383506,0.0,0.009039637247008514,-0.015706772720596618,1.0
55632,2026-05-06 23:00:00,2026,0.0012472263194904798,-0.007310094863219874,0.0,0.00298672827261548,-0.018958507494630794,0.0,0.003289043030916261,-0.017609582488267606,0.0,0.004556476197420167,-0.015288888686223245,1.0
55636,2026-05-07 03:00:00,2026,0.0017623916783158222,0.00841526952574867,1.0,0.0037460342564408222,-0.008628994178748073,1.0,0.00520897065780801,-0.015683509347599767,0.0,0.008186341873628322,-0.005668451964000454,1.0
55640,2026-05-07 07:00:00,2026,0.0021447677214148086,-0.008036615697440297,0.0,0.00430865474534059,-0.0187147571507964,0.0,0.005708648641824965,-0.022905123949149342,0.0,0.009329750021219496,-0.016063509368461126,1.0
55644,2026-05-07 11:00:00,2026,0.0016135733602613556,-0.012027066459719293,0.0,0.0035008948324293243,-0.01606216317590814,0.0,0.004864649104890262,-0.008024399339390698,1.0,0.0070075552938551056,-0.006423076067697764,1.0
55648,2026-05-07 15:00:00,2026,0.002327201404453305,0.0030194184526628476,1.0,0.004083869495273618,-0.0028414417919897517,1.0,0.004069564380527524,0.0032191410885165084,1.0,0.004751441516757993,0.007816695750760161,1.0
55652,2026-05-07 19:00:00,2026,0.0026904657520834263,-0.001670493446299659,1.0,0.004555852714974051,0.0009832486676657481,1.0,0.004504354301888114,0.0005566275007868882,1.0,0.0057775095142904576,0.009860949469624458,1.0
55656,2026-05-07 23:00:00,2026,0.002040669586566679,-0.005384021722552035,1.0,0.0030458423160588666,0.0018702160821533198,1.0,0.004177853729633085,0.00232069380204436,1.0,0.005595967438129179,0.008276335290885228,1.0
55660,2026-05-08 03:00:00,2026,0.0001729518071655889,0.0011936549241990946,1.0,0.0011228114263062139,0.007611142669638582,1.0,0.0018132716313843389,0.010015057383599313,1.0,0.002503731836462464,0.014913385173448646,1.0
55664,2026-05-08 07:00:00,2026,0.0004965927203688381,0.006844108912318347,1.0,0.0006091262897047756,0.0065110606003973,1.0,0.0008742477496657131,0.006841614580688216,1.0,0.0001809265216383693,0.013234073829226034,1.0
